date,cpu_utilization_forecast,cost_usd_forecast,disk_total_bytes_forecast,network_total_bytes_forecast,instance_id
2025-10-20,0.07415225157805282,0.3999142403939707,273717.1832287934,9330.24858643288,5551001
2025-10-21,0.07060975226392772,0.38781442232785207,294005.4576179761,8719.996167727419,5551001
2025-10-22,0.07471645716539746,0.39533968542357406,289245.0845702037,8928.433927599606,5551001
2025-10-23,0.07188341304228937,0.38818356234699436,269794.9261355254,7833.367086289971,5551001
2025-10-24,0.07448135409590736,0.39654844349783575,253556.8226613482,8670.888129714214,5551001
2025-10-25,0.03064226217021783,0.40119623520437186,325831.61291521473,9455.37253143922,5551001
2025-10-26,0.030353225665683613,0.38424454300390826,394259.0771178712,8383.761956044698,5551001
2025-10-27,0.07416448277579225,0.4003321087796429,274037.7467229906,9302.157719627041,5551001
2025-10-28,0.07062198346166779,0.3882322907135304,294326.0211121198,8691.905300921573,5551001
2025-10-29,0.07472868836310456,0.3957575538091883,289565.6480646152,8900.343060789655,5551001
2025-10-30,0.07189564424003529,0.38860143073273107,270115.4896295389,7805.27621948783,5551001
2025-10-31,0.07449358529362496,0.39696631188354936,253877.38615551256,8642.797262911372,5551001
2025-11-01,0.030654493367915776,0.4016141035900452,326152.17640951014,9427.281664633563,5551001
2025-11-02,0.030365456863281893,0.3846624113895796,394579.64061227697,8355.67108923933,5551001
2025-10-20,0.07222599226094607,0.42334889179361906,255130.44846836833,10569.035869167423,5551002
2025-10-21,0.07626085700005175,0.4131419508485448,250637.75202064434,9906.420057208026,5551002
2025-10-22,0.07187210891350564,0.43445080945099257,248894.83866552377,10263.538783965221,5551002
2025-10-23,0.07161787131933772,0.42322316466668125,275580.5667624078,9539.874607918566,5551002
2025-10-24,0.07338554896505917,0.42223744607186803,281763.95229115285,9962.471784357407,5551002
2025-10-25,0.029284588890434952,0.3963890037062363,372372.2964829548,9680.462494918156,5551002
2025-10-26,0.028752979875936502,0.39368580368426864,231643.64272166428,9680.013483076655,5551002
2025-10-27,0.07219129573559323,0.4243874674964705,256431.0157757377,10591.382649484996,5551002
2025-10-28,0.07622616047470121,0.4141805265513696,251938.31932803532,9928.766837525905,5551002
2025-10-29,0.07183741238812393,0.4354893851538065,250195.40597258782,10285.885564281165,5551002
2025-10-30,0.07158317479397414,0.4242617403695671,276881.13407010597,9562.221388237704,5551002
2025-10-31,0.07335085243967022,0.42327602177473106,283064.51959870534,9984.818564676192,5551002
2025-11-01,0.029249892365032996,0.39742757940907275,373672.8637903371,9702.809275235693,5551002
2025-11-02,0.028718283350443498,0.39472437938703275,232944.21002934373,9702.3602633917,5551002
2025-10-20,0.07204049348114083,0.3752340292092474,319754.15920592024,9956.07906260668,5551003
2025-10-21,0.06950139581954701,0.38120902281270347,276227.19883346366,9393.36669259184,5551003
2025-10-22,0.06989649142756657,0.38521404527022585,274945.9937955934,9877.855840533744,5551003
2025-10-23,0.07290388095130983,0.3782721956189858,316453.218056858,10036.408333658414,5551003
2025-10-24,0.0700859456698787,0.3701336565777568,254702.8433212087,9522.165942979711,5551003
2025-10-25,0.027963098660681113,0.3748948983511986,320503.9992475519,9527.77373081108,5551003
2025-10-26,0.027721653219674153,0.3882864857152408,248321.1292353912,10060.741067501285,5551003
2025-10-27,0.07195614564480061,0.3748699538249951,320123.38025718497,9962.72717813377,5551003
2025-10-28,0.06941704798321839,0.3808449474284242,276596.4198848789,9400.014808119542,5551003
2025-10-29,0.06981214359119245,0.3848499698860055,275315.21484655835,9884.503956061426,5551003
2025-10-30,0.07281953311497798,0.37790812023469766,316822.43910846807,10043.056449186126,5551003
2025-10-31,0.07000159783351206,0.3697695811934921,255072.06437262095,9528.814058507138,5551003
2025-11-01,0.02787875082430028,0.3745308229669572,320873.22029886575,9534.421846339048,5551003
2025-11-02,0.02763730538319352,0.38792241033099856,248690.3502866932,10067.38918302758,5551003
2025-10-20,0.07954982817521315,0.3755515690270192,302678.15421447577,9528.50738752201,5551004
2025-10-21,0.07391906111637922,0.40101089641085724,265322.0225761705,9542.581111040457,5551004
2025-10-22,0.0750287275263446,0.38940919540769164,280324.8239302093,9751.448214280314,5551004
2025-10-23,0.07667881430647515,0.39585268776437726,362536.2621809243,9397.75447317624,5551004
2025-10-24,0.07884226619745875,0.3920983121015025,237818.8849764576,8337.636022314447,5551004
2025-10-25,0.03062655821422764,0.37416839490230186,315922.2881290332,9639.124431010456,5551004
2025-10-26,0.031228626676216897,0.37685380864476886,336655.7659307154,9025.197284695072,5551004
2025-10-27,0.0796313811102427,0.37479052375342103,303326.74353063543,9522.338388757173,5551004
2025-10-28,0.07400061405142498,0.4002498511372269,265970.61189247546,9536.412112275018,5551004
2025-10-29,0.07511028046134055,0.3886481501341275,280973.4132463558,9745.279215512026,5551004
2025-10-30,0.07676036724151378,0.3950916424907083,363184.8514972402,9391.585474414298,5551004
2025-10-31,0.07892381913246219,0.39133726682784803,238467.47429266194,8331.46702355129,5551004
2025-11-01,0.030708111149212215,0.3734073496286727,316570.8774453301,9632.95543224654,5551004
2025-11-02,0.03131017961108833,0.37609276337115716,337304.35524699406,9019.028285931552,5551004
2025-10-20,0.07288681228056951,0.39923941381203626,270255.6391182833,9032.572176964164,5551005
2025-10-21,0.07520820202728752,0.4021605869506373,315656.558548661,9206.400946981772,5551005
2025-10-22,0.07299896352197202,0.3984629488713372,247915.0320489186,9427.439265584888,5551005
2025-10-23,0.06987881748717745,0.39830830739778167,229882.58821569785,9505.986527129884,5551005
2025-10-24,0.07025339600391013,0.3933412647903611,326732.12417394435,9640.277043733584,5551005
2025-10-25,0.02918601794710498,0.38874070259166066,344786.4449651326,8740.956791686984,5551005
2025-10-26,0.029123537845649774,0.39681785432943695,288279.8484985024,9122.736807075893,5551005
2025-10-27,0.07283092230211895,0.3998202306656787,271396.2436797279,9029.17745820724,5551005
2025-10-28,0.07515231204883689,0.40274140380428264,316797.1631101015,9203.00622822402,5551005
2025-10-29,0.07294307354348759,0.3990437657249888,249055.63661033727,9424.044546829666,5551005
2025-10-30,0.06982292750872227,0.39888912425140516,231023.19277707097,9502.591808371266,5551005
2025-10-31,0.07019750602542965,0.393922081643988,327872.7287353813,9636.88232497549,5551005
2025-11-01,0.02913012796860971,0.3893215194452997,345927.049526499,8737.562072929482,5551005
2025-11-02,0.0290676478670601,0.3973986711830521,289420.45306010323,9119.342088317697,5551005
