timestamp,project_id,resource_global_name,sku_description,cpu_utilization,memory_used_bytes,disk_read_bytes,disk_write_bytes,egress_bytes,ingress_bytes,uptime_fraction,cost_usd
01-01-2025 05:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551001,VM state: preserved local SSD in Americas,0.044855,1.08E+10,47656,18869,987.1884,4057.291,0.624752,0.160061
01-01-2025 05:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551002,Network Inter Zone Data Transfer Out,0.041307,1.10E+10,28726,12840,1645.849,1256.447,0.422971,0.08662
01-01-2025 05:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551003,Network Intra Zone Data Transfer In,0.034439,1.04E+10,39732,15320,1162.814,4644.628,0.262795,0.086629
01-01-2025 05:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551004,Network Data Transfer to Google Services from Americas to Americas,0.042605,1.06E+10,30783,7977,949.981,2970.766,0.183827,0.47227
01-01-2025 05:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551005,VM state: preserved local SSD in Americas,0.029325,9.79E+09,46703,878401,0.6419,3229.2,0.259355,0.130939
01-01-2025 17:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551001,Network Inter Zone Data Transfer Out,0.076574,1.24E+10,38369,8692,2131.01,5619.099,0.47238,0.106267
01-01-2025 17:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551002,Network Intra Zone Data Transfer In,0.095817,1.28E+10,40793,12581,482.3931,5006.749,0.438214,0.098946
01-01-2025 17:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551003,Network Data Transfer to Google Services from Americas to Americas,0.145438,1.51E+10,41585,18987,225.4544,1880.25,0.294039,0.512793
01-01-2025 17:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551004,VM state: preserved local SSD in Americas,0.098493,1.30E+10,46233,15368,1580.711,2925.71,0.533512,0.167073
01-01-2025 17:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551005,Network Inter Zone Data Transfer Out,0.108742,1.35E+10,37554,10121,1481.122,2464.167,0.449845,0.078296
02-01-2025 05:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551001,Network Intra Zone Data Transfer In,0.046133,1.05E+10,28795,19860,2464.247,4086.823,0.327584,0.08939
02-01-2025 05:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551002,Network Data Transfer to Google Services from Americas to Americas,0.036126,1.07E+10,45419,15256,0.2302,1609.324,0.360823,0.52872
02-01-2025 05:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551003,VM state: preserved local SSD in Americas,0.048009,1.05E+10,27481,14267,2591.891,6557.644,0.610196,0.156347
02-01-2025 05:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551004,Network Inter Zone Data Transfer Out,0.029929,1.07E+10,29667,18716,1433.055,4572.951,0.287831,0.066601
02-01-2025 05:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551005,Network Intra Zone Data Transfer In,0.025868,9.93E+09,28493,14168,789.1058,5739.531,0.616066,0.116848
02-01-2025 17:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551001,Network Data Transfer to Google Services from Americas to Americas,0.130364,1.48E+10,26978,14502,1379.365,2314.949,0.246251,0.535705
02-01-2025 17:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551002,VM state: preserved local SSD in Americas,0.085941,1.28E+10,42447,7463,136.166,5163.388,0.560326,0.174385
02-01-2025 17:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551003,Network Inter Zone Data Transfer Out,0.127107,1.45E+10,34962,15659,0.0671,3859.013,0.450679,0.01
02-01-2025 17:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551004,Network Intra Zone Data Transfer In,0.111514,1.38E+10,30196,15255,1537.665,3567.709,0.273748,0.069825
02-01-2025 17:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551005,Network Data Transfer to Google Services from Americas to Americas,0.096776,1.34E+10,47432,18406,32.1109,4083.585,0.178134,0.503761
03-01-2025 05:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551001,VM state: preserved local SSD in Americas,0.048947,1.12E+10,41401,10519,119.959,3530.035,0.434734,0.148759
03-01-2025 05:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551002,Network Inter Zone Data Transfer Out,0.048756,1.11E+10,38881,19658,0.5214,4129.571,0.285307,0.01
03-01-2025 05:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551003,Network Intra Zone Data Transfer In,0.042711,1.07E+10,33177,12270,2171.226,3233.798,0.5256,0.066935
03-01-2025 05:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551004,Network Data Transfer to Google Services from Americas to Americas,0.031559,9.88E+09,28844,11120,0.8866,4111.102,0.201842,0.454199
03-01-2025 05:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551005,VM state: preserved local SSD in Americas,0.046649,1.10E+10,44197,8042,752.1081,6263.893,0.313571,0.161225
03-01-2025 17:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551001,Network Inter Zone Data Transfer Out,0.1294,1.41E+10,44969,12327,2508.348,5514.853,0.439827,0.129815
03-01-2025 17:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551002,Network Intra Zone Data Transfer In,0.084327,1.21E+10,35670,7813,1745.47,1027.103,0.60882,0.021927
03-01-2025 17:30,analytic-pocs-dev-c50df1,//compute.googleapis.com/projects/analytic-pocs-dev-c50df1/zones/us-central1-a/instances/5551003,Network Data Transfer to Google Services from Americas to Americas,0.093708,1.24E+10,26663,15452,1380.855,3006.547,0.484609,0.493557
